Cell number,ACTA2,ACTG2,ACTR3B,ADGRL4,AGR2,AHR,AIF1,AKT1,ALDH1A3,ANLN,AP1M2,APOC1,APOE,AR,AURKA,AZGP1,B2M,BAG1,BANK1,BCL2,BGN,BICC1,BIRC5,BLVRA,BRAF,C10orf54,C1QA,C1QB,CALCRL,CAPN13,CCL2,CCL3,CCL4,CCL5,CCNB1,CCND1,CCNE1,CCNE2,CD14,CD163,CD19,CD2,CD24,CD274,CD34,CD36,CD38,CD3D,CD3E,CD3G,CD4,CD40,CD40LG,CD44,CD5,CD63,CD68,CD69,CD7,CD74,CD79A,CD79B,CD8A,CD9,CD96,CDC20,CDC6,CDH1,CDH11,CDH3,CDK4,CDK6,CDK7,CDKN2A,CEACAM1,CENPF,CEP55,CLDN4,CLU,COBL,COL1A1,COL1A2,COL3A1,COL4A1,COL4A2,COL4A5,CR2,CRABP2,CSRP2,CST3,CSTB,CTCF,CTLA4,CTSL,CXCR5,CXXC5,DCN,DERL3,EFNA5,EGFR,EIF3E,ELF5,EPCAM,ERBB2,ERBB3,ERBB4,ESR1,FABP7,FAP,FASN,FAT1,FCGR3A,FCN1,FCRL5,FGFR1,FGFR2,FGFR4,FN1,FOS,FOXA1,FOXC1,FOXP3,FTL,FXYD3,GATA3,GNG11,GNLY,GPNMB,GPR160,GRB7,GSN,GZMB,HIF1A,HLA-A,HLA-B,HLA-C,HLA-DPA1,HLA-DRA,HLA-DRB1,HLA-DRB5,HLA-E,HSPB1,HSPG2,ICAM1,ICOS,IFITM3,IGF1R,IGFBP5,IGHG1,IGHG4,IGHM,IGKC,IL2RA,IL32,IL3RA,IL7R,ISG15,ISG20,ITGA6,ITGAX,JUN,JUNB,KIF23,KIT,KRAS,KRT10,KRT14,KRT15,KRT17,KRT18,KRT19,KRT5,KRT7,KRT8,LAG3,LAMA1,LAMC1,LDB2,LGALS1,LGALS2,LGMN,LILRB1,LRP2,LST1,LTF,LUM,LYPD6B,LYZ,MAPK13,MAPK3,MDM2,MELK,MIA,MKI67,MLPH,MMP11,MMP12,MMP9,MS4A1,MSR1,MT2A,MUC1,MYB,MYBL2,MYC,MYL6,MYL9,MYLK,MYO10,MYO5B,MZB1,NAT1,NCAM1,NDC80,NDRG2,NF1,NFKBIA,NKG7,NOTCH1,NR3C1,NUF2,OBP2B,ORC6,PABPC1,PBK,PDCD1,PDPN,PDZK1IP1,PECAM1,PGR,PHGDH,PI3,PIK3CA,PLEK,PLVAP,POU2AF1,PRLR,PTEN,PTPRB,PTPRC,PTTG1,RAMP2,RB1,RPL13,RPL18,RPSA,RRM2,S100A14,S100A4,S100A8,S100A9,SDC1,SFRP1,SIAH2,SKAP1,SLC2A1,SLC39A6,SLPI,SNAI2,SOX10,SOX18,SOX4,SPDEF,SPP1,STAT5A,STMN1,SULF1,TAGLN,TBX21,TCF4,TCL1A,TFEC,TFF1,TFF2,TFF3,TFRC,THEMIS,THY1,TIMP1,TMEM45B,TMSB10,TMSB4X,TP53,TPM2,TRAC,TRDC,TSPAN1,TTC6,TTYH1,TYMS,UBE2C,UBE2T,VIM,XBP1,XCL1,ZEB1,ZNF571
2110,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,17,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,30,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
2111,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,41,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
2112,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,1,0,0,0,0,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,3,0,0,0,0,0,0,0,0,2,0,0,17,2,2,1,0,0,0,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,22,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
2114,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,5,0,11,0,0,0,0,1,1,0,1,0,0,0,6,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,1,0,0,0,0,0,0,1,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,13,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2116,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,36,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,0,0,0,1,0,0,1,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,1,1,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,2,1,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
2117,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,1,1,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,22,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,0,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2118,0,1,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,3,0,7,0,0,0,0,0,0,0,0,1,0,0,11,0,0,1,0,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2119,3,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,5,1,1,0,0,0,0,0,0,3,0,0,20,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2120,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,3,0,1,2,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,6,2,0,0,0,0,0,1,0,0,0,0,32,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0
2121,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,15,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2122,8,4,0,2,1,7,0,1,1,1,1,0,1,0,1,0,8,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,10,0,0,1,0,0,1,1,0,0,0,1,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,3,0,0,0,1,3,2,0,1,1,0,3,0,3,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,20,1,8,1,0,3,21,1,3,1,0,2,4,1,1,0,0,0,0,0,0,0,4,1,3,1,1,2,0,0,0,0,1,0,0,0,0,1,75,83,1,4,0,0,0,4,0,0,1,0,5,1,0,0,0,0,0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,8,9,0,3,28,0,4,0,0,0,1,14,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,2,0,5,1,0,0,1,3,0,0,0,0,3,0,1,0,0,2,8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,7,1,1,0,0,2,0,1,0,0,1,0,0,0,0,2,1,0,0,9,0,5,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,1
2123,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
2124,0,0,0,0,0,0,0,2,0,3,1,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,102,0,0,0,0,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,1,0,0,2,0,2,1,1,0,4,3,1,0,1,0,0,1,0,0,1,4,0,0,0,2,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,1,0,0,0,12,1,0,1,3,0,0,1,1,0,0,0,0,1,11,2,4,0,1,1,0,0,1,4,3,0,0,2,0,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,15,12,1,0,4,0,9,0,0,1,1,0,1,0,0,0,0,1,65,1,0,1,0,0,1,2,0,0,0,0,0,1,0,1,0,0,5,1,0,0,0,1,1,0,0,0,0,0,0,7,0,1,0,0,0,1,0,0,0,9,0,0,1,0,1,0,0,0,0,0,3,0,1,1,2,0,5,1,1,0,0,0,0,1,0,1,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,4,0,1,4,0,0,0,2,0,24,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0
2125,14,0,0,0,2,1,0,3,0,2,1,0,5,0,0,5,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,1,1,119,0,0,2,0,0,4,0,0,0,0,0,1,0,1,2,0,2,0,0,0,1,0,0,0,1,0,0,1,0,0,4,0,0,0,1,0,1,0,2,0,0,0,2,0,3,0,1,4,1,0,4,1,0,1,0,0,1,0,0,1,1,0,0,0,5,0,4,0,0,0,0,0,1,1,1,3,0,0,6,0,1,0,1,1,0,0,13,0,1,12,2,1,1,0,0,0,0,1,4,1,0,1,2,2,0,3,1,0,0,2,2,0,0,1,2,0,0,0,2,1,1,2,0,1,0,0,17,26,0,1,2,0,2,0,1,3,1,0,0,1,0,0,1,1,134,0,1,6,0,2,0,2,0,0,0,2,0,4,0,3,0,1,7,0,0,0,0,2,2,0,0,0,0,0,1,7,0,0,1,0,0,0,1,1,0,7,1,0,0,0,5,4,0,1,0,2,7,0,0,0,0,2,4,0,2,0,0,1,1,1,0,0,2,0,0,2,0,0,2,0,0,0,0,6,0,0,1,0,2,16,0,3,15,0,2,0,1,0,19,0,1,0,0,0,0,1,1,2,0,0,3,1,1,0
2126,7,0,0,2,1,0,0,4,0,4,0,0,6,0,0,4,0,0,1,1,0,1,0,2,2,0,16,0,1,0,0,0,2,0,1,5,0,2,0,0,0,1,163,0,1,2,1,0,3,0,0,0,0,0,2,2,0,3,1,1,0,0,0,0,0,0,1,0,3,4,7,2,3,2,0,0,0,0,0,0,2,0,8,5,0,0,0,2,0,0,1,1,1,2,0,0,0,0,2,1,0,0,0,1,0,0,1,6,0,1,0,0,0,0,5,0,0,1,19,1,0,11,2,1,3,0,0,0,0,2,0,0,85,1,1,0,0,0,0,0,0,2,2,0,0,1,0,1,6,4,1,2,2,2,1,0,3,2,0,0,2,3,1,3,0,5,3,0,0,9,10,0,0,2,0,17,1,0,1,1,0,0,2,0,0,2,8,102,1,0,1,0,1,0,4,1,1,1,0,0,4,0,1,0,0,6,3,0,1,2,2,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,6,0,1,1,0,3,11,1,0,0,4,3,2,0,2,0,0,1,0,0,1,0,2,1,0,0,0,1,1,3,0,0,0,1,0,0,2,1,10,1,0,2,1,0,0,0,0,3,0,1,0,2,1,17,0,4,0,1,0,0,1,0,0,0,0,2,0,0,7
2127,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,35,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,1,0,0,0,0,1,4,1,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,5,0,1,1,0,0,2,0,0,1,0,0,0,0,32,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,2,0,1,0,0,1,0,3,0,0,0,2,0,0,0,3,0,0,0,2,4,0,0,5,0,9,0,0,1,0,0,0,1,0,0,0,4,51,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,4,0,1,0,0,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,3,1,0,2,0,3,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3
2128,2,0,0,0,0,0,0,2,0,1,1,2,21,2,0,1,2,0,0,0,2,0,0,0,0,0,13,1,0,0,1,0,0,1,0,2,0,4,0,1,0,1,193,0,0,1,0,0,0,4,3,1,0,0,0,7,3,1,0,13,1,0,0,1,1,0,1,0,0,1,0,1,3,12,0,1,0,0,0,0,0,0,3,3,0,0,0,1,0,3,1,0,0,4,0,0,0,1,0,0,1,0,0,3,0,0,1,3,0,1,0,1,0,1,3,1,1,2,23,2,1,5,13,1,0,2,0,1,0,23,0,0,78,2,9,2,0,6,4,4,1,3,6,0,2,0,1,0,6,4,0,0,1,0,1,0,0,4,0,0,1,1,0,0,0,0,1,1,0,9,8,0,0,2,2,10,1,1,1,1,1,0,0,1,2,0,1,134,2,1,1,0,0,5,1,0,2,0,0,1,2,0,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,1,10,1,1,0,0,1,0,1,1,0,2,0,2,1,0,0,14,1,0,0,4,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,5,0,1,0,0,2,0,18,1,0,0,0,0,1,0,2,2,0,0,4,1,0,18,0,0,1,0,1,0,0,0,0,0,1,4,1,0,1
2129,30,0,0,0,0,1,0,3,0,2,0,0,13,1,0,2,1,0,0,0,0,1,0,1,0,0,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,106,0,0,2,0,0,5,1,0,0,0,1,5,1,1,1,0,0,0,0,0,1,0,0,0,1,3,2,4,1,0,1,0,0,0,0,0,0,1,1,4,4,0,0,0,2,0,0,1,0,0,12,0,2,0,0,2,2,1,0,3,1,1,0,0,6,0,2,1,2,0,0,2,0,3,5,15,1,0,38,0,1,2,0,2,1,1,9,1,0,84,3,4,2,0,0,0,0,0,2,1,0,0,2,1,0,9,5,0,1,0,0,1,2,0,7,0,1,4,0,0,2,7,2,0,0,1,6,10,1,1,6,0,8,1,0,0,1,0,0,1,0,5,1,0,64,3,1,2,0,0,3,12,0,1,0,1,0,10,0,5,0,0,7,0,2,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,9,0,2,0,0,6,9,3,0,1,5,7,0,0,0,0,1,6,1,2,0,1,0,2,0,0,0,4,1,0,4,0,0,2,0,1,0,0,22,1,0,2,3,3,3,0,0,13,0,1,0,2,2,57,1,2,0,0,2,0,0,1,1,1,0,4,1,0,0
